"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 6, 7, 19
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\routers\routes.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 23, 1, 43
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductCard.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 5, 9, 77
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductCartWidget.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 4, 5, 41
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductFilterSidebar.jsx", "JavaScript JSX", 0, 0, 0, 145, 0, 0, 0, 4, 14, 163
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductList.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 2, 4, 23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductSort.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 3, 7, 62
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\index.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\auth\LoginForm\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 0, 0, 3, 10, 134
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\auth\LoginForm\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\auth\RegisterForm\RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 190, 0, 0, 0, 3, 10, 203
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\auth\RegisterForm\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\serviceWorker.jsx", "JavaScript JSX", 0, 0, 0, 89, 0, 0, 0, 33, 14, 136
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\theme\customShadows.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 5, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\theme\globalStyles.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 3, 4, 59
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\theme\index.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 3, 6, 45
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\theme\overrides\Autocomplete.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\theme\overrides\Backdrop.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
